Unnamed: 0,TWEET,STOCK,DATE,LAST_PRICE,1_DAY_RETURN,2_DAY_RETURN,3_DAY_RETURN,7_DAY_RETURN,PX_VOLUME,VOLATILITY_10D,VOLATILITY_30D,LSTM_POLARITY,TEXTBLOB_POLARITY
59372,"RT @Apple: The all-new iPhone XS, iPhone XS Max, iPhone XR and Apple Watch Series 4 are here. #AppleEvent",Apple,13/09/2018,226.41,-0.0235855306744401,-0.0113069210723908,-0.0356874696347333,-0.0146194956053177,41706377.0,25.87,17.349,-1.0,0.0
,adidas,30/11/2017,175.717,0.0089746581150372,0.0195484785194375,0.0193834404183999,0.032779981447441,1054855.0,16.375,24.5,-1.0,0.0,
Tesco,02/09/2018,246.5,0.0,0.0,-0.0073022312373225,0.0328600405679513,32768776.0,23.66,17.753,-1.0,0.0,,
40653,RT @CaseyNeistat: dear @Nike i appreciate you for standing with @Kaepernick7 https://t.co/KEvLlzeGGV,,,,,,,,,,,,
44248,"RT @larra723: @Kaepernick7 @Nike BIG MISTAKE NIKE!!!!  My family will not be buying, wearing, or speaking the name Nike. Kneeling during th…",Nike,04/09/2018,79.6,0.0326633165829146,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0
94792,RT @Joseduecefresh: I feel that twitter needs to watch this gem from paisa Facebook that never disappoints 😂😂 https://t.co/D9xR3gfsUB,,,,,,,,,,,,
36261,RT @ShawnMendes: Thank you @Apple for including me in this amazing ad! #BehindTheMac #ad x https://t.co/CM7948rMCN,,,,,,,,,,,,
,eBay,31/01/2017,31.83,0.0106817467797676,0.021363493559535,0.021363493559535,-0.0578071002199183,9469076.0,33.029,22.932,-1.0,0.0,
53907,10 photos of dogs who look exactly like their owners https://t.co/0t4xhGSdOo via @Yahoo,,,,,,,,,,,,
,Facebook,21/10/2018,154.05,0.0,0.0,0.0056475170399219,-0.0020123336579032,19761347.0,35.723,27.856,1.0,-0.5,
48799,Ending now #SmallVase  #VintageVase 4 inch Floral #CloisonneVase Green and Orange with Stand https://t.co/08kq7Phcbz @eBay,,,,,,,,,,,,
,Netflix,21/10/2018,332.67,0.0,0.0,0.0422039859320045,0.0207112153184837,16717233.0,80.447,53.359,1.0,0.0,
Apple,30/10/2018,213.3,-0.004969526488513841,0.0140646976090014,0.0140646976090014,0.0442100328176276,36659990.0,31.718000000000004,30.011,1.0,0.4,,
Google,12/09/2018,1171.6,0.01569648344144768,0.0029532263571185,0.0051126664390577,0.0234721748036872,1785833.0,15.395,16.708,-1.0,-0.1,,
112075,RT @NickiPlayhouse_: This is a Ryanair flight from Barcelona to London the racist old man didn’t not want to sit next to this elderly woman…,,,,,,,,,,,,
24266,RT @Nike: Kids from Akron don’t just dream it. They do it. #justdoit https://t.co/Cmj2caP2Mq,,,,,,,,,,,,
62336,"I just talked the illegal alien working the counter at @McDonalds out of an extra ketchup pack
#IAmSparticus",McDonald's,15/09/2018,160.84,0.0,0.0096990798308878,0.0242476995772196,0.0190251181298184,3939824.0,12.173,12.037,-1.0,-0.25
70081,"RT @albinokid: @Jemppu @CBS @startrekcbs It’s not purposeful geoblocking, it just has to do with the international rights holders not havin…",CBS,21/09/2018,56.74,-0.0007049700387733,-0.013570673246387,-0.0188579485371871,-0.015685583362707,6121104.0,15.473,18.182,1.0,0.0
117139,RT @emilyeasson: I’ll admit I’ve done some questionable things in my time but I’ve never posted a story to Facebook,,,,,,,,,,,,
75625,Check out Blair Womens Plus Green Elastic Waist Pants Size 22W #Blair #ElasticWaistPants #Casual https://t.co/qlXT0J0AUr via @eBay,,,,,,,,,,,,
8336,RT @bostonmarket: @NotGlobalism @GEICO @WellsFargo @subaru_usa @UOPX @Dodge @Hyundai @etrade @sprint @AARP @Overstock @LibertyMedical… ,,,,,,,,,,,,
69697,"RT @shelleypetersen: @facebook it's now 2 weeks without an fb share button &amp; posts disappearing from #Healthinnovations' pages, with only a…",Facebook,21/09/2018,162.93,0.0189651997790462,0.0007978886638433,-0.0161419014300619,-0.0037439391149574,45994800.0,24.339,21.958,1.0,0.0
,UPS,31/08/2017,114.36,0.0053340328786288,0.004634487583071,-0.0049842602308498,-0.0088317593564183,3262164.0,9.476,18.102,1.0,0.0,
8882,RT @HCDSociety: @facebook #glorifies #anorexia and takes no #social #responsibility for people who publish material that #encourage… ,,,,,,,,,,,,
adidas,04/09/2018,210.5,0.02470308788598569,0.0190023752969121,0.0190023752969121,0.0256532066508313,636913.0,17.278,29.276,1.0,-0.2,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.1166666666666666,,
Netflix,22/09/2018,361.19,0.0,0.0115451701320635,0.0159749716215841,0.009330269387303,11930568.0,44.094,41.762,1.0,0.0,,
36943,@Reuters You know any clown can orchestrate these calls?,,,,,,,,,,,,
21605,Shoutout to @netflix and Will Smith for #BrightMovie watched it 3 times now idc what the critics say that movie is solid 💯,,,,,,,,,,,,
,Netflix,29/12/2017,191.96,0.0039070639716607,-0.0297978745571994,-0.0218795582413003,-0.0105230256303397,5187606.0,24.448,25.15,-1.0,0.0,
eBay,03/09/2018,34.61,0.0,0.0,0.0,-0.0008668015024559,7944075.0,11.392,14.753,-1.0,0.0,,
Nike,04/09/2018,79.6,0.03266331658291468,0.0326633165829146,0.0326633165829146,0.0374371859296482,18565837.0,20.517,20.153,-1.0,0.0,,
,eBay,01/06/2017,34.79,-0.0140845070422535,-0.0048864616269043,0.0031618281115262,0.0123598735268755,6665270.0,17.9,19.091,-1.0,0.0499999999999999,
12614,RT @the_best_daily: 15% discount #samsung @Samsung #GalaxyTabS3 #sale Samsung Galaxy Tab S3 9.7 Inch Tablet with S Pen - Black - 64GB… ,,,,,,,,,,,,
,CBS,18/10/2018,56.17,-0.005518960299092,-0.0199394694676874,-0.0322236069076019,-0.0418372796866655,2763312.0,33.713,23.97,1.0,0.1363636363636363,
108079,@goal Some Samsung battery is running out ),,,,,,,,,,,,
,Netflix,22/10/2018,329.54,0.0094980882442192,0.0094980882442192,0.0094980882442192,0.0108939734174909,17097175.0,79.116,52.925,-1.0,0.1704545454545454,
60973,@OfficialInhuman @amazon Creepy as fuck,,,,,,,,,,,,
116845,"After ‘Days Gone,’ What’s The Next Early 2019 Gaming Casualty? https://t.co/VI4F8pC6eG https://t.co/erfe7KTQGm",Next,22/10/2018,5054.0,0.0075187969924812,0.0075187969924812,0.0075187969924812,0.0550059358923624,444376.0,32.019,35.397,-1.0,0.05
